都道府県コード,都道府県名,元号,和暦（年）,西暦（年）,注,人口（総数）,人口（男）,人口（女）,rate
9,栃木県,昭和,40,1965,,1521656,735781,785875,2.3
9,栃木県,昭和,45,1970,,1580021,769524,810497,10.2
9,栃木県,昭和,50,1975,,1698003,834794,863209,3
9,栃木県,昭和,55,1980,,1792201,885573,906628,20.1
9,栃木県,昭和,60,1985,,1866066,924221,941845,0.1
9,栃木県,平成,2,1990,,1935168,962571,972597,-2.3
9,栃木県,平成,7,1995,,1984390,987426,996964,3.4
9,栃木県,平成,12,2000,,2004817,995859,1008958,31
9,栃木県,平成,17,2005,,2016631,1002114,1014517,-20.3
9,栃木県,平成,22,2010,,2007683,996855,1010828,3.3
9,栃木県,平成,27,2015,,1974255,981626,992629,6.4
